date,department,current_headcount,projects,attrition_rate,productivity_index,required_headcount
2023-01-01,Operations,60,1,0.02,1.144,61
2023-02-01,Operations,59,2,0.0108,1.017,67
2023-03-01,Operations,66,0,0.0122,0.953,75
2023-04-01,Operations,74,2,0.0146,0.957,91
2023-05-01,Operations,91,1,0.0141,1.038,108
2023-06-01,Operations,106,0,0.0063,1.047,119
2023-07-01,Operations,118,0,0.0044,1.066,125
2023-08-01,Operations,125,0,0.0128,1.086,122
2023-09-01,Operations,120,1,0.0005,1.069,115
2023-10-01,Operations,114,0,0.0076,1.094,105
2023-11-01,Operations,103,3,0.0063,0.978,104
2023-12-01,Operations,102,0,0.0185,1.079,103
2024-01-01,Operations,101,3,0.0192,0.953,117
2024-02-01,Operations,115,2,0.0129,1.009,142
2024-03-01,Operations,140,1,0.0093,1.042,181
2024-04-01,Operations,181,0,0.0143,0.909,237
2024-05-01,Operations,237,0,0.015,1.076,307
2024-06-01,Operations,305,2,0.0131,1.043,384
2024-07-01,Operations,383,0,0.0114,0.985,448
2024-08-01,Operations,446,5,0.0046,1.014,499
2024-09-01,Operations,497,2,0.0149,0.969,516
2024-10-01,Operations,514,1,0.013,0.961,524
2024-11-01,Operations,524,1,0.0071,0.838,555
2024-12-01,Operations,554,5,0.0145,0.92,632
2025-01-01,Operations,630,3,0.0146,0.985,778
2025-02-01,Operations,777,2,0.0135,1.007,1038
2025-03-01,Operations,1037,2,0.0002,1.13,1480
2025-04-01,Operations,1479,0,0.0142,0.988,2139
2025-05-01,Operations,2137,2,0.0186,1.047,3055
2025-06-01,Operations,3053,1,0.0075,0.959,4213
2025-07-01,Operations,4211,0,0.0138,0.974,5416
2025-08-01,Operations,5415,0,0.0238,0.851,6433
2025-09-01,Operations,6431,1,0.0147,0.92,7293
2025-10-01,Operations,7293,1,0.0031,0.959,8224
2025-11-01,Operations,8224,2,0.0132,1.119,9484
2025-12-01,Operations,9484,3,0.0038,0.962,11813
2023-01-01,Maintenance,36,3,0.0066,1.106,42
2023-02-01,Maintenance,41,3,0.0159,0.921,50
2023-03-01,Maintenance,49,1,0.0123,0.913,58
2023-04-01,Maintenance,58,1,0.0192,1.174,70
2023-05-01,Maintenance,69,0,0.0094,0.924,80
2023-06-01,Maintenance,78,0,0.0168,0.925,87
2023-07-01,Maintenance,87,3,0.0119,1.173,97
2023-08-01,Maintenance,95,0,0.0107,0.959,93
2023-09-01,Maintenance,92,4,0.017,1.132,93
2023-10-01,Maintenance,91,4,0.0092,0.837,91
2023-11-01,Maintenance,91,0,0.0083,1.004,86
2023-12-01,Maintenance,85,1,0.0131,1.039,88
2024-01-01,Maintenance,86,3,0.01,0.977,101
2024-02-01,Maintenance,99,1,0.0177,1.089,121
2024-03-01,Maintenance,120,2,0.0001,0.836,159
2024-04-01,Maintenance,159,3,0.0113,0.906,214
2024-05-01,Maintenance,214,1,0.0099,0.964,280
2024-06-01,Maintenance,278,1,0.0,0.845,352
2024-07-01,Maintenance,352,1,0.0179,1.083,411
2024-08-01,Maintenance,409,0,0.0109,1.077,446
2024-09-01,Maintenance,445,1,0.0089,0.99,463
2024-10-01,Maintenance,461,0,0.0188,1.0,465
2024-11-01,Maintenance,464,1,0.0032,1.144,493
2024-12-01,Maintenance,492,1,0.0128,1.027,555
2025-01-01,Maintenance,553,2,0.0181,1.017,680
2025-02-01,Maintenance,678,3,0.0074,1.088,912
2025-03-01,Maintenance,912,0,0.0113,0.954,1288
2025-04-01,Maintenance,1288,0,0.0054,1.024,1874
2025-05-01,Maintenance,1873,1,0.0147,0.887,2683
2025-06-01,Maintenance,2682,0,0.0081,0.892,3698
2025-07-01,Maintenance,3698,2,0.0085,0.981,4780
2025-08-01,Maintenance,4778,2,0.0105,1.095,5743
2025-09-01,Maintenance,5741,0,0.0072,1.045,6552
2025-10-01,Maintenance,6550,0,0.0156,1.015,7302
2025-11-01,Maintenance,7302,1,0.0188,1.01,8379
2025-12-01,Maintenance,8378,1,0.0183,0.979,10311
2023-01-01,Security,106,0,0.0148,0.89,104
2023-02-01,Security,103,2,0.0055,1.019,115
2023-03-01,Security,115,4,0.0191,0.992,138
2023-04-01,Security,137,0,0.0054,1.066,162
2023-05-01,Security,161,1,0.0203,0.925,188
2023-06-01,Security,188,1,0.0173,0.904,211
2023-07-01,Security,209,2,0.0076,0.874,224
2023-08-01,Security,224,0,0.0123,1.028,219
2023-09-01,Security,217,1,0.0062,0.974,205
2023-10-01,Security,204,1,0.0174,0.936,187
2023-11-01,Security,187,2,0.0149,0.935,180
2023-12-01,Security,179,2,0.014,0.88,185
2024-01-01,Security,183,2,0.0201,1.004,205
2024-02-01,Security,204,2,0.0106,0.961,250
2024-03-01,Security,248,1,0.0084,1.003,319
2024-04-01,Security,319,3,0.0082,0.968,425
2024-05-01,Security,423,2,0.0164,1.143,551
2024-06-01,Security,549,2,0.0184,1.007,684
2024-07-01,Security,684,2,0.0043,1.049,808
2024-08-01,Security,807,0,0.0143,0.946,877
2024-09-01,Security,876,0,0.009,1.001,907
2024-10-01,Security,905,0,0.0126,0.942,919
2024-11-01,Security,919,6,0.0211,1.1,968
2024-12-01,Security,968,3,0.0085,0.992,1099
2025-01-01,Security,1098,3,0.014,0.962,1352
2025-02-01,Security,1351,2,0.0096,1.011,1806
2025-03-01,Security,1806,2,0.0164,0.932,2546
2025-04-01,Security,2546,1,0.0104,1.03,3694
2025-05-01,Security,3694,2,0.0015,1.107,5341
2025-06-01,Security,5341,1,0.0123,0.981,7343
2025-07-01,Security,7341,1,0.0118,0.992,9458
2025-08-01,Security,9457,1,0.0112,1.125,11356
2025-09-01,Security,11354,0,0.018,0.998,12837
2025-10-01,Security,12835,1,0.0134,1.018,14340
2025-11-01,Security,14338,0,0.0156,1.046,16493
2025-12-01,Security,16491,2,0.0125,0.978,20391
2023-01-01,CustomerService,59,2,0.0243,0.941,62
2023-02-01,CustomerService,60,1,0.0245,0.887,66
2023-03-01,CustomerService,66,1,0.0131,0.965,77
2023-04-01,CustomerService,76,1,0.0131,0.965,91
2023-05-01,CustomerService,89,1,0.0058,0.811,106
2023-06-01,CustomerService,105,2,0.0047,0.936,122
2023-07-01,CustomerService,121,0,0.0163,0.965,126
2023-08-01,CustomerService,125,4,0.002,1.123,131
2023-09-01,CustomerService,130,1,0.0206,0.956,121
2023-10-01,CustomerService,119,1,0.0161,0.989,110
2023-11-01,CustomerService,108,3,0.0034,1.001,109
2023-12-01,CustomerService,108,2,0.0095,0.97,114
2024-01-01,CustomerService,112,3,0.0065,1.043,131
2024-02-01,CustomerService,130,3,0.0092,0.835,163
2024-03-01,CustomerService,162,1,0.008,0.944,209
2024-04-01,CustomerService,208,0,0.0176,0.871,271
2024-05-01,CustomerService,269,0,0.0094,0.827,350
2024-06-01,CustomerService,349,2,0.0105,0.937,439
2024-07-01,CustomerService,438,1,0.0067,1.089,516
2024-08-01,CustomerService,516,2,0.0093,1.001,567
2024-09-01,CustomerService,566,3,0.013,0.91,590
2024-10-01,CustomerService,590,1,0.0127,0.883,601
2024-11-01,CustomerService,600,4,0.0072,1.057,641
2024-12-01,CustomerService,639,2,0.0096,0.938,725
2025-01-01,CustomerService,725,3,0.0099,0.981,898
2025-02-01,CustomerService,898,1,0.0062,1.136,1203
2025-03-01,CustomerService,1203,3,0.0178,0.982,1697
2025-04-01,CustomerService,1695,1,0.0094,0.921,2462
2025-05-01,CustomerService,2460,3,0.0078,0.939,3545
2025-06-01,CustomerService,3543,0,0.0148,0.916,4861
2025-07-01,CustomerService,4859,0,0.0067,0.829,6284
2025-08-01,CustomerService,6282,2,0.0176,0.995,7506
2025-09-01,CustomerService,7504,0,0.0111,1.031,8535
2025-10-01,CustomerService,8534,1,0.0121,0.91,9546
2025-11-01,CustomerService,9545,2,0.008,0.902,11057
2025-12-01,CustomerService,11057,2,0.0165,0.972,13629
2023-01-01,IT,64,3,0.0093,0.932,69
2023-02-01,IT,67,3,0.0077,0.916,78
2023-03-01,IT,76,2,0.0093,1.025,91
2023-04-01,IT,89,0,0.0118,1.081,104
2023-05-01,IT,103,1,0.0079,1.026,122
2023-06-01,IT,120,0,0.0163,1.076,133
2023-07-01,IT,133,0,0.011,0.967,140
2023-08-01,IT,139,2,0.0138,0.98,140
2023-09-01,IT,139,0,0.0158,1.246,128
2023-10-01,IT,126,1,0.0037,0.954,118
2023-11-01,IT,116,2,0.0116,0.927,114
2023-12-01,IT,112,2,0.017,0.846,117
2024-01-01,IT,115,4,0.0149,0.873,135
2024-02-01,IT,134,1,0.0086,0.985,164
2024-03-01,IT,164,1,0.0163,1.021,211
2024-04-01,IT,210,0,0.0095,0.99,276
2024-05-01,IT,276,1,0.0151,1.083,360
2024-06-01,IT,358,0,0.0189,1.131,443
2024-07-01,IT,442,0,0.0167,1.008,514
2024-08-01,IT,512,2,0.0096,1.07,563
2024-09-01,IT,563,2,0.006,0.986,588
2024-10-01,IT,588,1,0.0117,0.862,600
2024-11-01,IT,598,1,0.0116,0.963,630
2024-12-01,IT,629,3,0.0123,1.038,714
2025-01-01,IT,714,4,0.0227,0.985,877
2025-02-01,IT,876,0,0.0099,0.983,1168
2025-03-01,IT,1167,2,0.0139,1.006,1649
2025-04-01,IT,1649,1,0.0219,1.04,2374
2025-05-01,IT,2372,0,0.0046,0.992,3420
2025-06-01,IT,3420,1,0.0026,1.016,4736
2025-07-01,IT,4736,1,0.0,1.059,6159
2025-08-01,IT,6158,0,0.008,1.054,7413
2025-09-01,IT,7413,0,0.0052,0.936,8476
2025-10-01,IT,8475,2,0.0065,0.927,9530
2025-11-01,IT,9529,4,0.0152,0.96,10973
2025-12-01,IT,10971,3,0.0181,0.966,13507
2023-01-01,Finance,51,3,0.0131,1.001,56
2023-02-01,Finance,55,3,0.0153,0.926,65
2023-03-01,Finance,63,2,0.0188,1.079,75
2023-04-01,Finance,74,2,0.0124,1.049,91
2023-05-01,Finance,90,0,0.0052,1.108,105
2023-06-01,Finance,105,2,0.0156,0.984,121
2023-07-01,Finance,120,1,0.004,1.057,129
2023-08-01,Finance,127,3,0.0116,1.007,130
2023-09-01,Finance,128,3,0.0113,0.995,125
2023-10-01,Finance,125,4,0.0142,1.123,122
2023-11-01,Finance,121,0,0.0072,0.891,115
2023-12-01,Finance,113,1,0.0125,0.944,117
2024-01-01,Finance,115,0,0.0047,0.87,128
2024-02-01,Finance,126,3,0.0125,0.955,157
2024-03-01,Finance,156,0,0.0142,1.004,199
2024-04-01,Finance,198,0,0.0143,0.972,259
2024-05-01,Finance,259,3,0.0124,0.967,342
2024-06-01,Finance,340,1,0.0114,1.016,426
2024-07-01,Finance,426,2,0.0063,1.049,504
2024-08-01,Finance,502,3,0.0161,0.952,550
2024-09-01,Finance,550,4,0.0068,0.872,579
2024-10-01,Finance,579,3,0.0203,1.034,590
2024-11-01,Finance,590,2,0.0047,1.022,628
2024-12-01,Finance,627,3,0.0192,1.029,707
2025-01-01,Finance,705,5,0.0165,1.024,873
2025-02-01,Finance,871,0,0.0121,1.095,1160
2025-03-01,Finance,1159,3,0.0161,1.039,1637
2025-04-01,Finance,1636,2,0.0108,1.058,2376
2025-05-01,Finance,2376,0,0.0202,1.028,3388
2025-06-01,Finance,3388,3,0.0079,0.905,4677
2025-07-01,Finance,4677,0,0.0174,0.907,5999
2025-08-01,Finance,5999,0,0.0074,0.943,7225
2025-09-01,Finance,7223,1,0.0137,0.953,8199
2025-10-01,Finance,8197,0,0.0034,0.733,9239
2025-11-01,Finance,9237,4,0.0063,1.152,10720
2025-12-01,Finance,10719,3,0.0,0.871,13391
2023-01-01,HR,51,2,0.0139,1.075,54
2023-02-01,HR,54,1,0.0164,0.951,60
2023-03-01,HR,59,2,0.0072,0.976,72
2023-04-01,HR,71,0,0.0208,1.011,83
2023-05-01,HR,81,3,0.0044,0.975,101
2023-06-01,HR,101,0,0.0114,0.968,113
2023-07-01,HR,113,0,0.0204,0.954,117
2023-08-01,HR,116,0,0.0101,0.943,114
2023-09-01,HR,114,1,0.0,0.955,109
2023-10-01,HR,107,3,0.0104,0.993,104
2023-11-01,HR,104,1,0.0096,1.169,101
2023-12-01,HR,100,2,0.006,0.914,106
2024-01-01,HR,105,3,0.0138,1.009,122
2024-02-01,HR,120,7,0.0159,0.982,158
2024-03-01,HR,156,0,0.0038,0.913,200
2024-04-01,HR,200,3,0.018,0.94,267
2024-05-01,HR,266,2,0.0177,0.896,348
2024-06-01,HR,348,0,0.014,1.021,433
2024-07-01,HR,431,1,0.0127,0.87,505
2024-08-01,HR,503,1,0.0241,0.937,544
2024-09-01,HR,542,0,0.0095,0.929,561
2024-10-01,HR,559,5,0.0193,0.935,574
2024-11-01,HR,574,0,0.0105,1.033,603
2024-12-01,HR,603,2,0.0047,1.061,687
2025-01-01,HR,685,3,0.0196,1.064,842
2025-02-01,HR,841,0,0.0076,0.768,1124
2025-03-01,HR,1124,2,0.0082,0.998,1595
2025-04-01,HR,1594,1,0.0154,0.893,2306
2025-05-01,HR,2306,0,0.0064,1.086,3320
2025-06-01,HR,3320,0,0.0077,0.907,4578
2025-07-01,HR,4576,1,0.0043,1.213,5931
2025-08-01,HR,5931,1,0.022,0.969,7059
2025-09-01,HR,7059,1,0.0096,1.022,8042
2025-10-01,HR,8040,0,0.0175,0.995,8948
2025-11-01,HR,8946,1,0.0095,0.942,10347
2025-12-01,HR,10346,1,0.0078,1.013,12841
2023-01-01,Quality,48,3,0.0148,0.967,53
2023-02-01,Quality,52,0,0.0138,1.165,56
2023-03-01,Quality,54,0,0.0131,0.968,62
2023-04-01,Quality,61,0,0.0161,0.748,71
2023-05-01,Quality,71,1,0.026,0.928,84
2023-06-01,Quality,83,0,0.0077,0.943,93
2023-07-01,Quality,91,0,0.0095,1.021,96
2023-08-01,Quality,95,0,0.0072,1.079,93
2023-09-01,Quality,91,1,0.0179,0.941,86
2023-10-01,Quality,84,0,0.0098,0.931,77
2023-11-01,Quality,77,0,0.008,0.989,73
2023-12-01,Quality,72,2,0.0209,0.876,76
2024-01-01,Quality,76,0,0.0143,0.953,84
2024-02-01,Quality,83,2,0.0202,0.904,103
2024-03-01,Quality,102,1,0.0116,1.241,132
2024-04-01,Quality,132,1,0.0135,0.777,175
2024-05-01,Quality,174,2,0.0188,0.825,229
2024-06-01,Quality,227,3,0.004,1.049,291
2024-07-01,Quality,290,1,0.0119,0.941,341
2024-08-01,Quality,340,1,0.016,1.018,371
2024-09-01,Quality,371,1,0.0101,1.069,386
2024-10-01,Quality,385,4,0.0145,0.932,398
2024-11-01,Quality,396,1,0.0181,1.011,415
2024-12-01,Quality,414,1,0.0067,0.834,470
2025-01-01,Quality,470,6,0.0,1.029,595
2025-02-01,Quality,593,5,0.016,1.058,797
2025-03-01,Quality,796,3,0.0149,0.966,1127
2025-04-01,Quality,1126,5,0.0126,1.103,1640
2025-05-01,Quality,1639,1,0.0091,0.99,2357
2025-06-01,Quality,2356,0,0.0049,1.126,3256
2025-07-01,Quality,3254,1,0.0045,0.945,4218
2025-08-01,Quality,4217,1,0.0141,1.039,5052
2025-09-01,Quality,5050,1,0.0078,0.963,5763
2025-10-01,Quality,5763,3,0.008,0.965,6475
2025-11-01,Quality,6474,0,0.0043,0.948,7520
2025-12-01,Quality,7519,1,0.0086,0.905,9327
